vehicle,fm,Mileage,lh,lc,mc,State
1292,4,7909,4.5,347.07,119.66,NV
1293,15,30478,1.4,77.7,119.66,MS
1294,5,19100,6.3,476.72,867.68,AZ
1295,6,17630,0.7,46.13,123.38,MS
1296,14,45937,8,616.64,309.45,FL
1297,14,19869,1.5,126.21,55.8,CA
1298,14,19843,3.5,286.33,119.66,AZ
1299,11,25552,1.4,108.88,119.66,TX
1300,10,15622,9.8,715.76,471.7,AZ
1301,21,37407,5,406.5,284.02,TX
1302,19,20652,1.1,72.71,119.66,ID
1303,22,35267,2.5,178.75,119.66,FL
1304,6,6509,4.2,328.09,119.66,TX
1305,15,17695,2.6,176.04,119.66,FL
1306,12,16394,3.1,256.88,206.14,CA
1307,12,14168,7.9,698.36,118.47,CA
1308,13,12479,1.9,138.7,146.08,TN
1309,17,22212,6.5,534.3,118.47,WA
1310,1,1241,3.8,239.3,118.36,FL
1311,9,19204,4.6,341.32,119.66,FL
1312,17,17352,5.2,415.51,181.23,NV
1313,19,64627,1.3,103.23,119.66,TX
1314,15,21400,3.2,259.53,0,CA
1315,4,3704,6.6,523.51,175.46,NV
1316,8,14472,4.7,330.86,119.66,TX
1317,11,43203,4.2,312.9,175.46,VA
1318,0,1,1.1,88.96,119.66,MI
1319,12,10594,1.3,103.07,119.66,VA
1320,6,13301,4,250.64,0,TX
1321,22,30227,1.5,136.36,175.46,VA
1322,19,17932,1,75.49,119.66,TX
1323,18,34667,4.6,387.6,119.66,AZ
1324,10,17027,2.2,146.51,119.66,AR
1325,11,17201,1.5,115.95,175.46,CA
1326,21,26466,6.3,493.88,175.46,AZ
1327,12,9600,2.1,173.47,119.66,AZ
1328,10,12607,1.5,93.43,178.07,NC
1329,8,17694,0,0,0,MT
1330,22,38086,5.1,432.96,119.66,CA
1331,3,5175,5.3,396.53,119.66,CA
1332,10,19486,8.2,655.24,317.75,NV
1333,6,5161,5,438.8,206.14,CA
1334,10,24218,4.2,312.5,119.66,TX
1335,1,5094,3.5,287,0,CA
1336,13,26361,1.3,105.42,137.08,AZ
1337,20,94592,2.1,114.8,235.07,PA
1338,4,14542,2.7,218.95,128.21,GA
1339,11,20985,4.9,304.63,206.48,GA
1340,21,19263,8.1,744.06,284.02,CA
1341,20,86083,6.6,503.1,175.46,TX
1342,3,4017,0.7,56.57,126.94,TX
1343,5,10678,0.7,52.37,119.66,FL
1344,4,6064,2.6,192.9,119.66,FL
1345,17,24988,4.4,328.66,234.75,FL
1346,3,3566,3.7,293.99,119.66,OH
